,filename,num_rows,filesize_MB,central_ra,central_dec
22625,chunk_ra_1.5_dec_32.5_table.h5,60149,8.271699905395508,1.5,32.5
22626,chunk_ra_1.5_dec_33.5_table.h5,56660,7.864869117736816,1.5,33.5
22627,chunk_ra_2.5_dec_31.5_table.h5,61470,8.3810396194458,2.5,31.5
22628,chunk_ra_2.5_dec_32.5_table.h5,62022,8.43139362335205,2.5,32.5
22629,chunk_ra_2.5_dec_33.5_table.h5,59821,8.191567420959473,2.5,33.5
22630,chunk_ra_3.5_dec_31.5_table.h5,54297,7.520981788635254,3.5,31.5
22631,chunk_ra_3.5_dec_32.5_table.h5,56533,7.798478126525879,3.5,32.5
22632,chunk_ra_3.5_dec_33.5_table.h5,55323,7.699906349182129,3.5,33.5
22633,chunk_ra_4.5_dec_31.5_table.h5,53719,7.466506004333496,4.5,31.5
22634,chunk_ra_4.5_dec_32.5_table.h5,57821,7.951712608337402,4.5,32.5
22635,chunk_ra_4.5_dec_33.5_table.h5,52068,7.30958080291748,4.5,33.5
22636,chunk_ra_5.5_dec_31.5_table.h5,54474,7.515810012817383,5.5,31.5
22637,chunk_ra_5.5_dec_32.5_table.h5,58570,7.99746036529541,5.5,32.5
22638,chunk_ra_5.5_dec_33.5_table.h5,50943,7.153157234191895,5.5,33.5
22639,chunk_ra_6.5_dec_31.5_table.h5,54016,7.524579048156738,6.5,31.5
22640,chunk_ra_6.5_dec_32.5_table.h5,55154,7.632054328918457,6.5,32.5
22641,chunk_ra_6.5_dec_33.5_table.h5,57374,7.911316871643066,6.5,33.5
22642,chunk_ra_7.5_dec_31.5_table.h5,49349,6.971231460571289,7.5,31.5
22643,chunk_ra_7.5_dec_32.5_table.h5,57718,7.956232070922852,7.5,32.5
22644,chunk_ra_7.5_dec_33.5_table.h5,54257,7.524777412414551,7.5,33.5
22645,chunk_ra_8.5_dec_31.5_table.h5,51304,7.176217079162598,8.5,31.5
22646,chunk_ra_8.5_dec_32.5_table.h5,59882,8.16156005859375,8.5,32.5
22647,chunk_ra_8.5_dec_33.5_table.h5,49588,6.984105110168457,8.5,33.5
22648,chunk_ra_9.5_dec_31.5_table.h5,58344,7.99066162109375,9.5,31.5
22649,chunk_ra_9.5_dec_32.5_table.h5,54584,7.5395355224609375,9.5,32.5
22650,chunk_ra_9.5_dec_33.5_table.h5,49429,6.995088577270508,9.5,33.5
22651,chunk_ra_10.5_dec_31.5_table.h5,55847,7.687833786010742,10.5,31.5
22652,chunk_ra_10.5_dec_32.5_table.h5,50913,7.140169143676758,10.5,32.5
22653,chunk_ra_10.5_dec_33.5_table.h5,48246,6.834342956542969,10.5,33.5
22654,chunk_ra_11.5_dec_31.5_table.h5,54211,7.504131317138672,11.5,31.5
22655,chunk_ra_11.5_dec_32.5_table.h5,52481,7.319520950317383,11.5,32.5
22656,chunk_ra_11.5_dec_33.5_table.h5,51570,7.222904205322266,11.5,33.5
22657,chunk_ra_12.5_dec_31.5_table.h5,52934,7.358659744262695,12.5,31.5
22658,chunk_ra_12.5_dec_32.5_table.h5,53784,7.461006164550781,12.5,32.5
22659,chunk_ra_12.5_dec_33.5_table.h5,50496,7.083767890930176,12.5,33.5
22660,chunk_ra_13.5_dec_31.5_table.h5,52478,7.307790756225586,13.5,31.5
22661,chunk_ra_13.5_dec_32.5_table.h5,52345,7.310271263122559,13.5,32.5
22662,chunk_ra_13.5_dec_33.5_table.h5,48736,6.895394325256348,13.5,33.5
22663,chunk_ra_14.5_dec_31.5_table.h5,53655,7.455611228942871,14.5,31.5
22664,chunk_ra_14.5_dec_32.5_table.h5,51225,7.208600044250488,14.5,32.5
22665,chunk_ra_14.5_dec_33.5_table.h5,48266,6.838590621948242,14.5,33.5
22666,chunk_ra_15.5_dec_31.5_table.h5,56513,7.765454292297363,15.5,31.5
22667,chunk_ra_15.5_dec_32.5_table.h5,54605,7.59161376953125,15.5,32.5
22668,chunk_ra_15.5_dec_33.5_table.h5,58751,8.07494068145752,15.5,33.5
22669,chunk_ra_16.5_dec_31.5_table.h5,55809,7.679715156555176,16.5,31.5
22670,chunk_ra_16.5_dec_32.5_table.h5,59038,8.095388412475586,16.5,32.5
22671,chunk_ra_16.5_dec_33.5_table.h5,58148,8.017879486083984,16.5,33.5
22672,chunk_ra_17.5_dec_31.5_table.h5,52900,7.367589950561523,17.5,31.5
22673,chunk_ra_17.5_dec_32.5_table.h5,57532,7.943449974060059,17.5,32.5
